OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length,Containment_Duration,Month,Decade,C_METHOD_DESCRIPTION,CAUSE_DESCRIPTION
61,2023,CA,CCO,KRN,ALMOND,23-36511,2023-08-06 00:00:00+00:00,2023-08-07 00:00:00+00:00,14.0,1.0,1.0,5228.871,2020.0,32043957.1210938,45656.0660909036,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
62,2023,CA,CCO,KRN,BOULEVARD,23-36217,2023-08-04 00:00:00+00:00,2023-08-07 00:00:00+00:00,14.0,1.0,1.0,89.46474,2020.0,542043.421875,8956.07928963521,72.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
65,2023,CA,CCO,KRN,TROTTER,23-37821,2023-08-14 00:00:00+00:00,2023-08-17 00:00:00+00:00,14.0,1.0,1.0,52.54716,2020.0,318702.40234375,4868.13291235762,72.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
71,2023,CA,CCO,KRN,TULE,23-42016,2023-09-09 00:00:00+00:00,2023-09-10 00:00:00+00:00,14.0,1.0,1.0,7.309518,2020.0,44897.9921875,924.004655341922,24.0,9,2020,Direct Attack (Hand Crews & Tools),Unknown
72,2023,CA,CCO,KRN,CALIENTE ,23-43040,2023-09-16 00:00:00+00:00,2023-09-17 00:00:00+00:00,14.0,1.0,1.0,55.02539,2020.0,334837.2265625,3260.97691659367,24.0,9,2020,Direct Attack (Hand Crews & Tools),Unknown
76,2023,CA,CCO,KRN,BLUE BARN ,23-44532,2023-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,14.0,1.0,1.0,7.971368,2020.0,48879.41015625,1049.61124597768,24.0,9,2020,Direct Attack (Hand Crews & Tools),Unknown
93,2023,CA,CCO,SBC,PLANT,00011307,2023-08-19 00:00:00+00:00,2023-08-31 00:00:00+00:00,11.0,3.0,1.0,5761.521,2020.0,34771286.984375,52880.1507570325,288.0,8,2020,Aerial Suppression (Planes & Helicopters),Powerline
94,2023,CA,CCO,SBC,SUN,00015577,2023-11-09 00:00:00+00:00,2023-11-13 00:00:00+00:00,2.0,3.0,1.0,211.192,2020.0,1263209.25390625,6407.74367740057,96.0,11,2020,Aerial Suppression (Planes & Helicopters),Equipment Use
95,2023,CA,CCO,SBC,GRADE,00013773,2023-10-06 00:00:00+00:00,2023-10-07 00:00:00+00:00,10.0,1.0,1.0,95.66613,2020.0,572195.2265625,5628.22411344363,24.0,10,2020,Direct Attack (Hand Crews & Tools),Fireworks
101,2023,CA,CCO,KRN,PINE,23-57131,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,14.0,1.0,1.0,169.973,2020.0,1041987.03125,5519.3161410333,24.0,12,2020,Direct Attack (Hand Crews & Tools),Unknown
103,2023,CA,CDF,BEU,WILLIAMS,00004739,2023-08-13 00:00:00+00:00,2023-08-16 00:00:00+00:00,9.0,7.0,1.0,4.5,2020.0,27820.04296875,740.678816912956,72.0,8,2020,Mop-up (Extinguishing Hot Spots),Miscellaneous
104,2023,CA,CCO,VNC,TRAIL,00063257,2023-07-26 00:00:00+00:00,2023-07-27 00:00:00+00:00,14.0,3.0,1.0,1.655345,2020.0,9795.05078125,785.699282226667,24.0,7,2020,Aerial Suppression (Planes & Helicopters),Unknown
105,2023,CA,LRA,VNC,VILLANOVA,00056809,2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,14.0,1.0,1.0,13.01236,2020.0,77596.91015625,1574.08464907446,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
106,2023,CA,CCO,VNC,SOUTH,00105733,2023-12-09 00:00:00+00:00,2023-12-12 00:00:00+00:00,14.0,3.0,1.0,2715.4,2020.0,16143487.7421875,46856.1700438683,72.0,12,2020,Aerial Suppression (Planes & Helicopters),Unknown
107,2023,CA,CDF,RRU,ROCK,00116806,2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,14.0,1.0,1.0,531.0221,2020.0,3125684.390625,9266.77327412283,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
108,2023,CA,CDF,RRU,BONNY,00109851,2023-07-26 00:00:00+00:00,2023-08-07 00:00:00+00:00,14.0,1.0,1.0,2323.106,2020.0,13545480.4726562,30310.0484777186,288.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
109,2023,CA,CDF,BEU,WILLIAMS,00005844,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,9.0,7.0,1.0,53.9,2020.0,334473.51171875,4810.72489922024,72.0,10,2020,Mop-up (Extinguishing Hot Spots),Miscellaneous
114,2023,CA,CDF,NEU,SPENCEVILLE,00021414,2023-07-26 00:00:00+00:00,2023-07-31 00:00:00+00:00,2.0,1.0,1.0,10.8,2020.0,71087.25,1270.33273404977,120.0,7,2020,Direct Attack (Hand Crews & Tools),Equipment Use
118,2023,CA,CDF,SLU,BITTER,00012683,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,10.0,1.0,1.0,695.1143,2020.0,4249745.02734375,11155.5890220942,24.0,8,2020,Direct Attack (Hand Crews & Tools),Fireworks
122,2023,CA,CDF,SLU,GREEN,00015639,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,11.0,1.0,1.0,247.2606,2020.0,1514331.9921875,6555.8168957239,72.0,10,2020,Direct Attack (Hand Crews & Tools),Powerline
125,2023,CA,CDF,SLU,SUMMIT,00017623,2023-11-10 00:00:00+00:00,2023-11-11 00:00:00+00:00,14.0,1.0,1.0,6.738468,2020.0,40989.48046875,1206.44721854531,24.0,11,2020,Direct Attack (Hand Crews & Tools),Unknown
137,2023,CA,CDF,SLU,SHELL,00011767,2023-07-30 00:00:00+00:00,2023-08-03 00:00:00+00:00,10.0,1.0,1.0,114.7964,2020.0,701703.50390625,4835.69047899195,96.0,7,2020,Direct Attack (Hand Crews & Tools),Fireworks
152,2023,CA,CDF,SDU,WILDCAT 2,00014677,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,14.0,1.0,1.0,12.2,2020.0,70128.078125,1661.04043872603,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
153,2023,CA,CDF,SDU,COYOTE,00018943,2023-08-17 00:00:00+00:00,2023-08-19 00:00:00+00:00,14.0,7.0,1.0,466.5,2020.0,2670139.78515625,8337.21972888518,48.0,8,2020,Mop-up (Extinguishing Hot Spots),Unknown
155,2023,CA,CDF,SDU,BLACKWOOD,00014650,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,14.0,1.0,1.0,37.4,2020.0,214332.078125,3972.24847104523,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
158,2023,CA,CDF,SDU,BORDER 14,00014727,2023-06-21 00:00:00+00:00,2023-06-22 00:00:00+00:00,14.0,6.0,1.0,61.07,2020.0,346823.5234375,3925.77136783633,24.0,6,2020,Natural Barriers (Using Terrain Features),Unknown
166,2023,CA,LRA,RRU,JOHNSON,00073504,2023-05-20 00:00:00+00:00,2023-05-21 00:00:00+00:00,14.0,1.0,1.0,37.28043,2020.0,217341.49609375,2617.17291736548,24.0,5,2020,Direct Attack (Hand Crews & Tools),Unknown
167,2023,CA,CDF,RRU,ALMOND,00113007,2023-08-02 00:00:00+00:00,2023-08-03 00:00:00+00:00,14.0,1.0,1.0,14.43536,2020.0,575218.65625,5876.39431740366,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
168,2023,CA,CDF,RRU,HOMESTEAD,00124491,2023-08-23 00:00:00+00:00,2023-08-24 00:00:00+00:00,14.0,1.0,1.0,8.132599,2020.0,47442.8671875,1386.47984668566,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
169,2023,CA,LRA,RRU,BROADWAY,00011111,2023-08-06 00:00:00+00:00,2023-08-08 00:00:00+00:00,14.0,1.0,1.0,1.601149,2020.0,9430.55859375,498.032123691391,48.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
170,2023,CA,LRA,RRU,66,00070760,2023-05-15 00:00:00+00:00,2023-05-17 00:00:00+00:00,14.0,1.0,1.0,127.0,2020.0,731642.03515625,5497.280080166,48.0,5,2020,Direct Attack (Hand Crews & Tools),Unknown
172,2023,CA,CDF,FKU,ORANGE,00010650,2023-06-01 00:00:00+00:00,2023-06-02 00:00:00+00:00,2.0,1.0,1.0,108.165,2020.0,677867.484375,5071.8883754557,24.0,6,2020,Direct Attack (Hand Crews & Tools),Equipment Use
173,2023,CA,CDF,FKU,RODEO,00011246,2023-06-09 00:00:00+00:00,2023-06-10 00:00:00+00:00,7.0,1.0,1.0,20.1026,2020.0,124507.4765625,1543.88631915266,24.0,6,2020,Direct Attack (Hand Crews & Tools),Arson
174,2023,CA,CDF,FKU,STRIKE,00016474,2023-08-12 00:00:00+00:00,2023-08-13 00:00:00+00:00,1.0,1.0,1.0,19.1282,2020.0,120709.50390625,1950.54802825913,24.0,8,2020,Direct Attack (Hand Crews & Tools),Lightning
177,2023,CA,CDF,FKU,PECK,00014123,2023-07-14 00:00:00+00:00,2023-07-15 00:00:00+00:00,10.0,1.0,1.0,14.3992,2020.0,90620.97265625,1396.62422271891,24.0,7,2020,Direct Attack (Hand Crews & Tools),Fireworks
181,2023,CA,CDF,FKU,JUNIPER,00014475,2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,10.0,1.0,1.0,11.1383,2020.0,66810.0,1221.56231171251,24.0,7,2020,Direct Attack (Hand Crews & Tools),Fireworks
183,2023,CA,CDF,FKU,LONG,00015037,2023-07-25 00:00:00+00:00,2023-07-27 00:00:00+00:00,15.0,1.0,1.0,27.6025,2020.0,171684.02734375,2019.18265395744,48.0,7,2020,Direct Attack (Hand Crews & Tools),Vehicle
184,2023,CA,LRA,LAC,VICTOR,00248830,2023-07-25 00:00:00+00:00,2023-07-27 00:00:00+00:00,4.0,7.0,1.0,57.49,2020.0,343984.6484375,3500.44681430332,48.0,7,2020,Mop-up (Extinguishing Hot Spots),Campfire
185,2023,CA,FWS,TNR,SAGE,00003113,2023-11-23 00:00:00+00:00,2023-11-27 00:00:00+00:00,14.0,7.0,1.0,39.687,2020.0,227598.1171875,3033.23839082546,96.0,11,2020,Mop-up (Extinguishing Hot Spots),Unknown
189,2023,CA,USF,BDF,NOB,00006515,2023-04-26 00:00:00+00:00,2023-05-11 00:00:00+00:00,14.0,5.0,1.0,226.9751,2020.0,1348920.48046875,5930.42818836032,360.0,4,2020,Fireline Construction (Bulldozers & Trenching),Unknown
